#"Step"	"Speed (ns/day)"	"Elapsed Time (s)"
100000	0	0.00019168853759765625
200000	2.63e+03	32.8859076499939
300000	2.77e+03	62.40520477294922
400000	2.76e+03	94.0037910938263
500000	2.73e+03	126.65249586105347
600000	2.79e+03	154.74555826187134
700000	2.82e+03	183.9007122516632
800000	2.86e+03	211.62965154647827
900000	2.88e+03	239.6930775642395
1000000	2.87e+03	270.7687692642212
1100000	2.87e+03	300.6667628288269
1200000	2.88e+03	329.46750950813293
1300000	2.88e+03	359.55186557769775
1400000	2.88e+03	390.4553737640381
1500000	2.85e+03	424.9654715061188
1600000	2.8e+03	462.04739809036255
1700000	2.76e+03	500.5182297229767
1800000	2.75e+03	534.2106277942657
1900000	2.76e+03	563.333283662796
2000000	2.78e+03	591.1043066978455
2100000	0	0.00015425682067871094
2200000	3.8e+03	22.721763372421265
2300000	3.67e+03	47.030165672302246
2400000	3.6e+03	72.04599642753601
2500000	3.56e+03	97.19913816452026
2600000	3.6e+03	119.99286603927612
2700000	3.54e+03	146.53665804862976
2800000	3.52e+03	172.03440523147583
2900000	3.49e+03	197.87313175201416
3000000	3.47e+03	224.27512955665588
3100000	3.45e+03	250.61368799209595
3200000	3.44e+03	275.88243293762207
3300000	3.44e+03	301.0230984687805
3400000	3.44e+03	326.59864115715027
3500000	3.43e+03	352.62632155418396
3600000	3.43e+03	377.9732904434204
3700000	3.41e+03	404.8352539539337
3800000	3.41e+03	431.267422914505
3900000	3.42e+03	455.374707698822
4000000	3.42e+03	479.8379466533661
4100000	3.43e+03	504.09420442581177
4200000	3.43e+03	529.6880257129669
4300000	3.42e+03	555.4991149902344
4400000	3.43e+03	580.1573419570923
4500000	3.44e+03	603.558051109314
4600000	3.44e+03	628.2016198635101
4700000	3.43e+03	654.2464077472687
4800000	3.43e+03	679.2264931201935
4900000	3.43e+03	705.3840923309326
5000000	3.43e+03	730.2837715148926
5100000	3.43e+03	754.6147000789642
5200000	3.44e+03	778.0216920375824
5300000	3.45e+03	802.5269312858582
5400000	3.44e+03	828.3960814476013
5500000	3.44e+03	854.8132922649384
5600000	3.44e+03	880.2315089702606
5700000	3.44e+03	905.0908060073853
5800000	3.44e+03	930.0494060516357
5900000	3.44e+03	953.5172400474548
6000000	3.45e+03	977.352509021759
6100000	3.44e+03	1003.8036887645721
6200000	3.44e+03	1029.5672886371613
6300000	3.44e+03	1053.491935491562
6400000	3.44e+03	1079.945927619934
6500000	3.44e+03	1106.527083158493
6600000	3.43e+03	1132.0609316825867
6700000	3.44e+03	1155.7882857322693
