#"Step"	"Speed (ns/day)"	"Elapsed Time (s)"
6800000	3.44e+03	1181.7003800868988
6900000	3.44e+03	1205.3461747169495
7000000	3.45e+03	1228.7695171833038
7100000	3.45e+03	1252.7475488185883
7200000	3.45e+03	1276.961966753006
7300000	3.45e+03	1301.98845911026
7400000	3.45e+03	1326.750658273697
7500000	3.45e+03	1351.876879453659
7600000	3.45e+03	1376.8005340099335
7700000	3.45e+03	1402.6357986927032
7800000	3.45e+03	1428.8999059200287
7900000	3.44e+03	1455.5366184711456
8000000	3.44e+03	1479.9697394371033
8100000	3.44e+03	1505.9708740711212
8200000	3.44e+03	1531.0362775325775
8300000	3.44e+03	1557.2452363967896
8400000	3.44e+03	1582.524169921875
8500000	3.44e+03	1608.8514952659607
8600000	3.43e+03	1635.1482717990875
8700000	3.43e+03	1661.969498872757
8800000	3.43e+03	1687.8305690288544
8900000	3.43e+03	1712.9422817230225
9000000	3.43e+03	1738.273417711258
9100000	3.43e+03	1763.0555548667908
9200000	3.43e+03	1786.417827129364
9300000	3.44e+03	1808.0940926074982
9400000	3.44e+03	1833.4467816352844
9500000	3.44e+03	1858.6749339103699
9600000	3.44e+03	1884.7007341384888
9700000	3.44e+03	1910.783301115036
9800000	3.44e+03	1936.4578170776367
9900000	3.43e+03	1961.9244465827942
10000000	3.43e+03	1988.1163582801819
10100000	3.43e+03	2013.6384885311127
10200000	3.44e+03	2036.4027216434479
10300000	3.44e+03	2059.9950234889984
10400000	3.44e+03	2085.3970222473145
10500000	3.44e+03	2108.1654324531555
10600000	3.45e+03	2130.2454755306244
10700000	3.45e+03	2155.2883105278015
10800000	3.45e+03	2181.8421943187714
10900000	3.44e+03	2207.902590036392
11000000	3.44e+03	2232.7202711105347
11100000	3.44e+03	2258.7726562023163
11200000	3.44e+03	2283.105808734894
11300000	3.44e+03	2307.8213081359863
11400000	3.44e+03	2333.413449525833
11500000	3.45e+03	2356.9122767448425
11600000	3.45e+03	2382.2759668827057
11700000	3.44e+03	2408.442756652832
11800000	3.44e+03	2434.4562635421753
11900000	3.44e+03	2460.1156227588654
12000000	3.44e+03	2486.130052089691
12100000	3.44e+03	2511.8433570861816
12200000	3.44e+03	2536.2159655094147
12300000	3.44e+03	2559.568794965744
12400000	3.44e+03	2584.3943197727203
12500000	3.44e+03	2610.885286092758
12600000	3.44e+03	2637.3845183849335
12700000	3.44e+03	2664.132313966751
12800000	3.44e+03	2690.8185670375824
12900000	3.43e+03	2717.3805894851685
13000000	3.43e+03	2744.298659324646
13100000	3.43e+03	2769.638107776642
13200000	3.43e+03	2793.632140636444
13300000	3.43e+03	2819.4207243919373
13400000	3.43e+03	2845.2497334480286
13500000	3.43e+03	2872.90695977211
13600000	3.43e+03	2900.362642288208
13700000	3.42e+03	2926.4360659122467
13800000	3.42e+03	2952.595798254013
13900000	3.42e+03	2978.6456265449524
14000000	3.42e+03	3004.646040916443
14100000	3.42e+03	3030.8990530967712
14200000	3.42e+03	3056.725089788437
14300000	3.42e+03	3082.7692108154297
14400000	3.42e+03	3108.2913007736206
14500000	3.42e+03	3133.794439792633
14600000	3.42e+03	3157.307891368866
14700000	3.42e+03	3179.528908729553
14800000	3.43e+03	3202.692886352539
14900000	3.43e+03	3224.7570650577545
15000000	3.43e+03	3249.4444921016693
15100000	3.43e+03	3274.5966360569
15200000	3.43e+03	3298.3553981781006
15300000	3.43e+03	3322.1798441410065
15400000	3.43e+03	3346.7436628341675
15500000	3.43e+03	3372.717218399048
15600000	3.43e+03	3398.366790533066
15700000	3.43e+03	3423.9239740371704
15800000	3.43e+03	3450.1376264095306
15900000	3.43e+03	3475.4809975624084
16000000	3.43e+03	3499.2213373184204
16100000	3.43e+03	3523.3804156780243
16200000	3.43e+03	3548.584834098816
16300000	3.43e+03	3573.1322276592255
16400000	3.43e+03	3599.547340631485
16500000	3.43e+03	3625.7448856830597
16600000	3.43e+03	3651.8483657836914
16700000	3.43e+03	3677.9779512882233
16800000	3.43e+03	3703.380845785141
16900000	3.43e+03	3728.4349138736725
17000000	3.43e+03	3754.3926496505737
17100000	3.43e+03	3780.8814680576324
17200000	3.43e+03	3807.1339271068573
17300000	3.43e+03	3832.8074250221252
17400000	3.43e+03	3858.812285423279
17500000	3.42e+03	3885.0111598968506
17600000	3.42e+03	3911.265371799469
17700000	3.42e+03	3936.737696170807
17800000	3.42e+03	3962.5788309574127
17900000	3.42e+03	3987.97887301445
18000000	3.42e+03	4013.5491631031036
18100000	3.42e+03	4038.614935398102
18200000	3.42e+03	4064.5584597587585
18300000	3.42e+03	4088.3358042240143
18400000	3.43e+03	4109.8087747097015
18500000	3.43e+03	4132.641236066818
18600000	3.43e+03	4158.59778213501
18700000	3.43e+03	4183.764185428619
18800000	3.43e+03	4209.9711928367615
18900000	3.43e+03	4232.3840589523315
19000000	3.43e+03	4258.934177160263
19100000	3.43e+03	4285.3201212883
19200000	3.43e+03	4311.30651307106
19300000	3.43e+03	4337.438780069351
19400000	3.43e+03	4363.655148744583
19500000	3.42e+03	4390.4101440906525
19600000	3.42e+03	4415.904171466827
19700000	3.42e+03	4441.96558880806
19800000	3.42e+03	4467.8506989479065
19900000	3.42e+03	4493.297295808792
20000000	3.42e+03	4520.346428155899
20100000	3.42e+03	4546.129869937897
20200000	3.42e+03	4572.495378494263
20300000	3.42e+03	4597.982306957245
20400000	3.42e+03	4624.2084810733795
20500000	3.42e+03	4650.516519546509
20600000	3.42e+03	4676.026693820953
20700000	3.42e+03	4702.031299829483
20800000	3.42e+03	4727.534869194031
20900000	3.42e+03	4752.405972003937
21000000	3.42e+03	4778.237694263458
21100000	3.42e+03	4802.299556016922
21200000	3.42e+03	4827.88113451004
21300000	3.42e+03	4853.951986312866
21400000	3.42e+03	4880.533195734024
21500000	3.42e+03	4907.3849568367
21600000	3.42e+03	4933.172043323517
21700000	3.41e+03	4959.043313026428
21800000	3.41e+03	4984.934278488159
21900000	3.41e+03	5011.07809305191
22000000	3.41e+03	5037.427886962891
